SampleName,CellType,ImmGenLab,Lineage,CellFamily,Organ,SortingMarkers,InputCellNumber,PF.reads,%chrM.mapped,Paired.read.after.removing.PCR.duplication,%fragment.1Kb_TSS,Replicate.cor
T.4.Nve.Sp#1,T.4.Nve.Sp,CBDM,abT,Spleen Na?ve CD4,Spleen,"CD4+CD8-TCRbhiCD62LhiCD44loCD25-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,33638230,2.53,9351523,8.39,0.919
T.4.Nve.Sp#2,T.4.Nve.Sp,CBDM,abT,Spleen Na?ve CD4,Spleen,"CD4+CD8-TCRbhiCD62LhiCD44loCD25-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,22309446,3.69,6969144,9.35,0.919
T.4.Nve.Fem.Sp#1,T.4.Nve.Fem.Sp,Shay,abT,Spleen/LN Na?ve CD4,Spleen,"CD4+CD8-TCRbhiCD62LhiCD44loCD25-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,20120426,5.72,5470544,19.04,0.962
T.4.Nve.Fem.Sp#2,T.4.Nve.Fem.Sp,Shay,abT,Spleen/LN Na?ve CD4,Spleen,"CD4+CD8-TCRbhiCD62LhiCD44loCD25-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,18764176,7.33,4926799,22.25,0.962
T.4.Sp.aCD3+CD40.18hr#1,T.4.Sp.aCD3+CD40.18hr,CBDM,T.act,Spleen CD4Act 48 hrs,Spleen,"CD4+CD8-TCRb-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,23901494,7.3,7468820,12.11,0.927
T.4.Sp.aCD3+CD40.18hr#2,T.4.Sp.aCD3+CD40.18hr,CBDM,T.act,Spleen CD4Act 48 hrs,Spleen,"CD4+CD8-TCRb-PI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,27206382,5.34,8178754,9.52,0.927
Treg.4.FP3+.Nrplo.Co#1,Treg.4.FP3+.Nrplo.Co,CBDM,abT,Colon Treg Nrplo,Colon,Foxp3+CD4+TCRb+Nrp1loDAPI-Dump(CD19)-,10000,24078482,10.15,4753608,29.33,0.921
Treg.4.FP3+.Nrplo.Co#2,Treg.4.FP3+.Nrplo.Co,CBDM,abT,Colon Treg Nrplo,Colon,Foxp3+CD4+TCRb+Nrp1loDAPI-Dump(CD19)-,10000,18778056,16.17,3191886,23.56,0.921
Treg.4.25hi.Sp#1,Treg.4.25hi.Sp,CBDM,abT,Spleen Treg,Spleen,"CD4+CD8-TCRbhiCD62LhiCD44loCD25hiPI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,24631596,3.9,7330315,8.76,0.902
Treg.4.25hi.Sp#2,Treg.4.25hi.Sp,CBDM,abT,Spleen Treg,Spleen,"CD4+CD8-TCRbhiCD62LhiCD44loCD25hiPI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,22101584,3.15,7247091,10.01,0.902
T.8.Nve.Sp#1,T.8.Nve.Sp,CBDM,abT,Spleen Na?ve CD8,Spleen,"CD4-CD8+TCRbhiCD62LhiCD44loPI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,28404306,5.65,7783582,10.9,0.952
T.8.Nve.Sp#2,T.8.Nve.Sp,CBDM,abT,Spleen Na?ve CD8,Spleen,"CD4-CD8+TCRbhiCD62LhiCD44loPI-Dump(CD19,Ter119,Gr1,NK1.1,F4/80)-",10000,43106448,4.31,10957626,16.24,0.952
T8.TN.P14.Sp#1,T8.TN.P14.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD44-PI-,10000,28168826,3.92,7974956,16.68,0.942
T8.TN.P14.Sp#2,T8.TN.P14.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD44-PI-,10000,20476430,6.1,6181378,25.01,0.942
T8.IEL.LCMV.d7.SI#1,T8.IEL.LCMV.d7.SI,Goldrath,T.act,CD8 T Cell,SI,CD8+CD45.1+PI-,10000,18275342,3.87,6423134,16.17,0.846
T8.IEL.LCMV.d7.SI#2,T8.IEL.LCMV.d7.SI,Goldrath,T.act,CD8 T Cell,SI,CD8+CD45.1+PI-,10000,28939600,2.36,9058474,5.84,0.846
T8.TE.LCMV.d7.Sp#1,T8.TE.LCMV.d7.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD45.1+KLRG1+CD127-PI-,10000,35015468,3.06,9755645,9.34,0.945
T8.TE.LCMV.d7.Sp#2,T8.TE.LCMV.d7.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD45.1+KLRG1+CD127-PI-,10000,23938534,5.63,5343327,17.66,0.945
T8.MP.LCMV.d7.Sp#1,T8.MP.LCMV.d7.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+KLRG1-CD127+CD45.1+PI-,10000,31761828,4.18,6909052,11.31,0.926
T8.MP.LCMV.d7.Sp#2,T8.MP.LCMV.d7.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+KLRG1-CD127+CD45.1+PI-,10000,18797988,6.16,5335926,19.73,0.926
T8.Tcm.LCMV.d180.Sp#1,T8.Tcm.LCMV.d180.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD44+CD62L+CD45.1+PI-,10000,17083314,8.3,4560517,22,0.968
T8.Tcm.LCMV.d180.Sp#2,T8.Tcm.LCMV.d180.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD44+CD62L+CD45.1+PI-,10000,21205090,5.29,5901120,14.64,0.968
T8.Tem.LCMV.d180.Sp#1,T8.Tem.LCMV.d180.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD44+CD62L-CD45.1+PI-,10000,21425202,3.57,7045774,11.45,0.907
T8.Tem.LCMV.d180.Sp#2,T8.Tem.LCMV.d180.Sp,Goldrath,T.act,CD8 T Cell,Spleen,CD8+CD44+CD62L-CD45.1+PI-,10000,27181508,3.2,7842053,10.22,0.907
NKT.Sp#1,NKT.Sp,Brenner,abT,NKT Cell,Spleen,"CD1dTetramer(alphaGalCer)+TCRbMedPI-Dump(CD8,CD19,Gr1,Ter119)-",10000,24999676,4.42,7052189,10.69,0.942
NKT.Sp#2,NKT.Sp,Brenner,abT,NKT Cell,Spleen,"CD1dTetramer(alphaGalCer)+TCRbMedPI-Dump(CD8,CD19,Gr1,Ter119)-",10000,24219844,5.5,6662604,11.56,0.942
NKT.Sp.LPS.3hr#1,NKT.Sp.LPS.3hr,Brenner,T.act,NKT Cell,Spleen,"CD1dTetramer(alphaGalCer)+TCRbMedPI-Dump(CD8,CD19,Gr1,Ter119)-",10000,26879722,4.69,7501692,9.06,0.941
NKT.Sp.LPS.3hr#2,NKT.Sp.LPS.3hr,Brenner,T.act,NKT Cell,Spleen,"CD1dTetramer(alphaGalCer)+TCRbMedPI-Dump(CD8,CD19,Gr1,Ter119)-",10000,24566042,5.5,7029105,11.88,0.941
NKT.Sp.LPS.18hr#1,NKT.Sp.LPS.18hr,Brenner,T.act,NKT Cell,Spleen,"CD1dTetramer(alphaGalCer)+TCRbMedPI-Dump(CD8,CD19,Gr1,Ter119)-",10000,22537144,7.97,6184289,19.35,0.949
NKT.Sp.LPS.18hr#2,NKT.Sp.LPS.18hr,Brenner,T.act,NKT Cell,Spleen,"CD1dTetramer(alphaGalCer)+TCRbMedPI-Dump(CD8,CD19,Gr1,Ter119)-",10000,21582678,6.1,5606089,15.12,0.949
NKT.Sp.LPS.3d#1,NKT.Sp.LPS.3d,Brenner,T.act,NKT Cell,Spleen,"CD1dTetramer(alphaGalCer)+TCRbMedPI-Dump(CD8,CD19,Gr1,Ter119)-",10000,25370754,4.96,7471880,14.51,0.956
NKT.Sp.LPS.3d#2,NKT.Sp.LPS.3d,Brenner,T.act,NKT Cell,Spleen,"CD1dTetramer(alphaGalCer)+TCRbMedPI-Dump(CD8,CD19,Gr1,Ter119)-",10000,21458600,4.53,6920148,12.64,0.956
Tgd.g2+d17.24a+.Th#1,Tgd.g2+d17.24a+.Th,Kang,gdT,gdT Cell,Thyums,TCRvg2+TCRd+CD24hiScart2+CD4-CD8-PI-,10000,24074540,3.54,5881397,12.12,0.937
Tgd.g2+d17.24a+.Th#2,Tgd.g2+d17.24a+.Th,Kang,gdT,gdT Cell,Thyums,TCRvg2+TCRd+CD24hiScart2+CD4-CD8-PI-,10000,21000980,5.86,6180698,13.82,0.937
Tgd.g2+d17.LN#1,Tgd.g2+d17.LN,Kang,gdT,gdT Cell,Lymph Node,TCRvg2+TCRd+CD24-CD27-CD4-CD8-PI-,10000,20913464,5.85,5133760,4.96,0.883
Tgd.g2+d17.LN#2,Tgd.g2+d17.LN,Kang,gdT,gdT Cell,Lymph Node,TCRvg2+TCRd+CD24-CD27-CD4-CD8-PI-,10000,27213886,7.25,5913247,6.7,0.883
Tgd.g2+d1.24a+.Th#1,Tgd.g2+d1.24a+.Th,Kang,gdT,gdT Cell,Thyums,TCRvg2+TCRd+CD24hiScart2-CD4-CD8-PI-,10000,25816542,2.73,7758295,7.62,0.876
Tgd.g2+d1.24a+.Th#2,Tgd.g2+d1.24a+.Th,Kang,gdT,gdT Cell,Thyums,TCRvg2+TCRd+CD24hiScart2-CD4-CD8-PI-,10000,26550826,2.08,8726559,6.78,0.876
Tgd.g2+d1.LN#1,Tgd.g2+d1.LN,Kang,gdT,gdT Cell,Lymph Node,TCRvg2+TCRd+CD24-CD27+CD4-CD8-PI-,10000,23338776,5.97,5837562,11,0.946
Tgd.g2+d1.LN#2,Tgd.g2+d1.LN,Kang,gdT,gdT Cell,Lymph Node,TCRvg2+TCRd+CD24-CD27+CD4-CD8-PI-,10000,22095260,5.7,5719318,11.51,0.946
Tgd.g1.1+d1.24a+.Th#1,Tgd.g1.1+d1.24a+.Th,Kang,gdT,gdT Cell,Thyums,TCRvg1.1+TCRd+CD24hiScart2-CD4-CD8-PI-,10000,26560592,3.65,7764556,7.29,0.92
Tgd.g1.1+d1.24a+.Th#2,Tgd.g1.1+d1.24a+.Th,Kang,gdT,gdT Cell,Thyums,TCRvg1.1+TCRd+CD24hiScart2-CD4-CD8-PI-,10000,18568768,9.22,5482928,17.53,0.92
Tgd.g1.1+d1.LN#1,Tgd.g1.1+d1.LN,Kang,gdT,gdT Cell,Lymph Node,TCRvg1.1+TCRd+CD24-CD27+CD4-CD8-PI-,10000,22957946,5.89,5959336,12.52,0.934
Tgd.g1.1+d1.LN#2,Tgd.g1.1+d1.LN,Kang,gdT,gdT Cell,Lymph Node,TCRvg1.1+TCRd+CD24-CD27+CD4-CD8-PI-,10000,24604366,2.61,7788971,7.24,0.934
Tgd.Sp#1,Tgd.Sp,Kang,gdT,gdT Cell,Spleen,TCRd+CD3+CD4-CD8-PI-,10000,16142226,7.69,3708225,31.84,0.938
Tgd.Sp#2,Tgd.Sp,Kang,gdT,gdT Cell,Spleen,TCRd+CD3+CD4-CD8-PI-,10000,25328612,2,7869675,11.23,0.938
NK.27+11b-.BM#1,NK.27+11b-.BM,Lanier,ILC,NK Cell,Bone Marrow,"NK1.1+DX5+CD27+CD11b-PI-Dump(CD3,CD19,CD127,CD51,CD49a)-",10000,21111092,6.39,5230832,19.83,0.966
NK.27+11b-.BM#2,NK.27+11b-.BM,Lanier,ILC,NK Cell,Bone Marrow,"NK1.1+DX5+CD27+CD11b-PI-Dump(CD3,CD19,CD127,CD51,CD49a)-",10000,16518428,10.74,3273829,26.1,0.966
NK.27+11b+.BM#1,NK.27+11b+.BM,Lanier,ILC,NK Cell,Bone Marrow,"NK1.1+DX5+CD27+CD11b+PI-Dump(CD3,CD19,CD127,CD51,CD49a)-",10000,18800950,8.31,4285271,27.64,0.976
NK.27+11b+.BM#2,NK.27+11b+.BM,Lanier,ILC,NK Cell,Bone Marrow,"NK1.1+DX5+CD27+CD11b+PI-Dump(CD3,CD19,CD127,CD51,CD49a)-",10000,19959476,9.6,4014008,30.19,0.976
NK.27-11b+.BM#1,NK.27-11b+.BM,Lanier,ILC,NK Cell,Bone Marrow,"NK1.1+DX5+CD27-CD11b+PI-Dump(CD3,CD19,CD127,CD51,CD49a)-",10000,20533908,4.18,5484853,13.48,0.964
NK.27-11b+.BM#2,NK.27-11b+.BM,Lanier,ILC,NK Cell,Bone Marrow,"NK1.1+DX5+CD27-CD11b+PI-Dump(CD3,CD19,CD127,CD51,CD49a)-",10000,23199324,4.89,5964470,16.7,0.964
NK.27+11b-.Sp#1,NK.27+11b-.Sp,Lanier,ILC,NK Cell,Spleen,"NK1.1+DX5+CD27+CD11b-PI-Dump(CD3,CD19,CD127,CD51,CD49a)-",10000,21380150,7.66,5388776,19.06,0.972
NK.27+11b-.Sp#2,NK.27+11b-.Sp,Lanier,ILC,NK Cell,Spleen,"NK1.1+DX5+CD27+CD11b-PI-Dump(CD3,CD19,CD127,CD51,CD49a)-",10000,19797306,7.88,4965184,21.22,0.972
NK.27+11b+.Sp#1,NK.27+11b+.Sp,Lanier,ILC,NK Cell,Spleen,"NK1.1+DX5+CD27+CD11b+PI-Dump(CD3,CD19,CD127,CD51,CD49a)-",10000,19330520,7.64,4745293,24.12,0.972
NK.27+11b+.Sp#2,NK.27+11b+.Sp,Lanier,ILC,NK Cell,Spleen,"NK1.1+DX5+CD27+CD11b+PI-Dump(CD3,CD19,CD127,CD51,CD49a)-",10000,20365318,8.43,4332443,29.67,0.972
